"RecipeID","Title","Category","Ingredient","Preparation"
40,"Pan de Segàla",,"2 kg. di farina di frumento ; 1 kg. di farina di segàla ; 1 l. di acqua ; 50 gr. di cumino ; 200 gr. di lievito di birra ; 30 gr. di sale. ;","Preparazione Si impastano la farina di frumento, la farina di segàla, i semi di cumino, il sale, l'acqua ed il lievito di birra (sciolto precedentemente in acqua tiepida). Si lavora l'impasto per alcuni minuti, fino ad ottenere una pasta morbida ed elastica che si lascia lievitare a 26°C, per circa un'ora. L'impasto viene quindi lavorato ancora per alcuni minuti e poi diviso in filoncini, che vengono lasciati ulteriormente lievitare per altri 40 minuti. Si cuoce in forno, a 230°C, per circa 30-35 minuti. Per poterne assaporare tutta la sua peculiarità, il prodotto va consumato fresco entro 2-3 giorni."
41,"Pan de Sòrc",,"2 kg. di farina di frumento ; 700 gr. di farina di mais ; 1 l. di acqua ; 200 gr. di lievito di birra ; 30 gr. di sale. ;","Preparazione Si impastano la farina di frumento, la farina di mais, il sale, l'acqua ed il lievito di birra (sciolto precedentemente in acqua tiepida). Si lavora l'impasto per alcuni minuti, fino ad ottenere una pasta morbida ed elastica che si lascia lievitare a 26°C, per circa un'ora. L'impasto viene quindi lavorato velocemente e suddiviso in pagnottelle, che vengono lasciate ulteriormente lievitare per altri 30 minuti. Si cuoce in forno, a 230°C, per circa 30-35 minuti. Il prodotto va consumato fresco entro 1-2 giorni."
42,"Pane de Molche",,"1 kg. di farina di frumento ; 150 gr. di molche ; una patata di circa 50 gr. cotta al vapore ; 1/2 l. di acqua ; 30 gr. burro  ; 50 gr. di lievito di birra ; 40 gr. olio extravergine ; 10 gr. zucchero  ; 10 gr. di sale. ;","Preparazione Si impasta la farina di frumento con tutti gli ingredienti e, per ultimo, il lievito di birra formando un impasto omogeneo, morbido, soffice ed elastico che si lascia lievitare finchè raddoppia il volume. Si manipola quindi ancora l'impasto, si dà forma al pane (palline, filoncini, trecce, o altre forme a piacere) e lo si fa lievitare per circa un' ora in luogo preferibilmente umido, ad una temperatura non inferiore a 18-20°C. Si cuoce in forno, a 180°C, per circa 30-35 minuti. Il pan di molche è un prodotto che dura 2-3 giorni, ma è preferibile consumarlo fresco."
43,"Pinza","Dolci","2 kg. di farina di frumento ; 400 gr. di burro ; 500 gr. zucchero; 25 gr. di lievito di birra; 5 tuorli d'uovo; 9 dl di latte ; 10 gr. di sale. ;","Preparazione Si impastano la farina con il lievito di birra sciolto in poca acqua tiepida, il sale, il burro, i tuorli d'uovo, lo zucchero ed il latte leggermente intiepidito. Si lavora la pasta fino a che non sarà morbida ed elastica e la si lascia lievitare per circa un'ora. Si lavora ancora la pasta per qualche minuto e si forma un rotolo che viene chiuso a cerchio e poi lasciato ulteriormente lievitare per altri 40 minuti. Si spennella quindi la superficie con un uovo sbattuto, la si cosparge di zucchero in granella e si cuoce in forno a 220°C, per 15 minuti circa, fino a che l'impasto non raggiunge un bel colore dorato."
44,"Polenta di patate",,"2,5 kg. di patate; 200 gr. di semolino; 50 gr. di burro; 1 l. di latte; 1 dado da brodo; sale e pepe. ;","Preparazione Sbucciare le patate e lessarle in un paiolo. Bollire il latte, sempre nel paiolo e, mentre bolle, aggiungervi le patate schiacciate, il dado da brodo a pezzettini ed il semolino, mescolando in continuazione per evitare che si formino dei grumi e, infine, salare. Quando l'impasto è omogeneo e morbido aggiungere il burro ed una presina di pepe appena macinato. Cuocere rimestando frequentemente con la ""canarola"", il classico bastone di legno, girando di continuo, lentamente, in senso orario, portando l'impasto dal basso verso l'alto, almeno per mezz'ora. Servire in tavola, fumante, sul caratteristico ""tabiel"" (tagliere di legno a forma circolare). Si accompagna a tutti i tipi di carne, in umido o arrosto, con il loro intingolo. Eventuali avanzi di polenta risulteranno ottimi se arrostiti o tagliati a fette e passati alla graticola, unti leggermente con del burro."
45,"Stràuli o Stràboli o Fortaie","Dolci","1 kg. di farina di frumento ; 150 gr. di zucchero ; 10 uova intere ; 250 ml. di grappa ; 1250 gr. di latte ; un cucchiaino di sale. ;","Preparazione Si impasta la farina con i tuorli d'uovo, la grappa, il latte ed il sale. Ottenuta una pastella liscia ed omogenea, si pone a riposare in un luogo fresco per circa 3/4 d'ora. Si montano quindi gli albumi a neve ben ferma e si uniscono alla pastella a cucchiaiate, mescolando delicatamente. Si versa il composto in un imbuto, oppure in un tegame con un beccuccio lungo e si fa cadere nell'olio bollente girando in senso circolare, in modo da ottenere una frittatina dall'aspetto ""aggrovigliato"", che si cuoce prima su un lato, poi dall'altro, fino a che non ha raggiunto un bel colore dorato. Vanno conservati in luogo fresco (per non più di due giorni) e possono essere consumati freddi o appena riscaldati e si servono spolverati di zucchero a velo ed accompagnati con marmellata di ""garnètole"" (mirtilli rossi)."
46,"Strudel","Dolci","1 kg. di farina di frumento ; 150 gr. di zucchero ; 2 tuorli d'uovo ; 5-6 mele renette canada ; 100 gr. di uvetta ; 100 gr. di pinoli ; 200 gr. olio di semi  ; un pizzico di cannella ; 1 bicchierino di grappa ; biscotti o pane grattugiato.""","Preparazione Si impastano la farina, i rossi d'uovo, lo zucchero e l'olio ottenendo una pasta elastica e compatta, definita ""pasta matta"" che si lascia riposare per circa un'ora. Si sbucciano le mele, si leva il torsolo e si tagliano a fettine sottili. Si stende la pasta fino ad ottenere una sfoglia abbastanza sottile (3-4 mm. di spessore) sulla quale si distribuiscono le fettine di mela, l'uvetta precedentemente messa in ammollo in acqua o vino bianco e poi strizzata, i pinoli, un pizzico di cannella ed un pugnetto di biscotti macinati o pangrattato (che assorbono il succo in eccesso delle mele) e si bagna con la grappa. Si arrotola facendo ben attenzione a non rompere la sfoglia e si chiudono le estremità. Si pone quindi in una teglia e si spennella la superficie con dell'uovo sbattuto. Si cuoce in forno, a 220°C, per circa 40 minuti. Si può consumare caldo o freddo, servito a piacere, con panna montata, ma, per esaltarne la fragranza, si consiglia di consumarlo tiepido."
47,"Torta di carote","Dolci","150 gr. di carote grattugiate  ; 150 gr. di zucchero ; 100 gr. di farina bianca ; 250 gr. di mandorle grattugiate ; 4 tuorli d' uovo ; 4 chiare d'uovo  ; buccia di limone grattugiata ; 1 bustina di lievito ;","Preparazione Sbattere in una scodella i tuorli d'uovo con lo zucchero, unire sempre mescolando la buccia di limone, il lievito, la farina, le mandorle e le carote finchè il tutto risulta ben amalgamato. Aggiungere quindi delicatamente le chiare d'uovo montate a neve. Mettere l'impasto in una tortiera imburrata e infarinata e cuocere in forno a 180°C per 45 minuti ."
48,"Tortolèti coi puriòni","Dolci","250 gr. di farina di frumento ; 100 gr. di zucchero; 2 uova; 2 cucchiai di foglie di menta; 1 bicchierino di grappa; zucchero a velo; latte. ;","Preparazione Si impasta la farina con le uova e lo zucchero aggiungendo un bicchierino di grappa e latte, quanto basta per ottenere un impasto dalla consistenza morbida ma compatta, foglie di menta selvatica seccate e sminuzzate. Si formano, con l'aiuto di un cucchiaio delle frittelline che si friggono in olio bollente, fino a raggiungere un bel colore dorato. Le frittelle vengono servite spolverate con lo zucchero a velo e si contraddistinguono per il profumo di menta."
49,"Grostoli","Dolci","2 kg. di farina di frumento ; 2 uova intere ; 6 tuorli d'uovo ; 300 gr. burro  ; 100 gr. zucchero ; 500 ml. di vino bianco   ; un bicchierino di grappa.  ;","Preparazione Si impasta la farina con le uova intere, i tuorli, il burro ammorbidito a pezzetti, lo zucchero, il vino bianco ed un bicchierino di grappa, ottenendo un impasto molto consistente che, lasciato riposare per circa 15 minuti, viene poi steso in modo da ottenere una sfoglia molto sottile. Con l'apposita rotella si tagliano dei rombi, o altre forme, che vengono fritti in olio bollente e serviti con una spolverata di zucchero a velo. Il prodotto va conservato in luogo fresco ed asciutto e consumato entro 2-3 giorni."
